feature,importance,abs_importance
cat__Contract_Month-to-month,0.15247138166759142,0.15247138166759142
num__tenure,0.12227737524186642,0.12227737524186642
num__TotalCharges,0.08298979723550981,0.08298979723550981
cat__Contract_Two year,0.07961983635874749,0.07961983635874749
cat__OnlineSecurity_No,0.07797553505617874,0.07797553505617874
cat__InternetService_Fiber optic,0.06219329832996623,0.06219329832996623
cat__TechSupport_No,0.05754902622953753,0.05754902622953753
num__MonthlyCharges,0.04982426674242397,0.04982426674242397
cat__PaymentMethod_Electronic check,0.03949429908975291,0.03949429908975291
cat__Contract_One year,0.021598908858567266,0.021598908858567266
cat__OnlineBackup_No,0.01837793970435378,0.01837793970435378
cat__InternetService_DSL,0.017118344997589584,0.017118344997589584
cat__StreamingMovies_No internet service,0.012977110552955062,0.012977110552955062
cat__OnlineSecurity_Yes,0.012938388507389074,0.012938388507389074
cat__TechSupport_Yes,0.01286161789203354,0.01286161789203354
